STREETSEGID;QUADCODE;ST_NAME
496;1;O St
498;1;Fessenden St
500;1;Chesapeake St
503;1;Macomb St
506;2;Minnesota Ave
508;1;Shepherd St
508;1;Shepherd St
510;3;Hanna Pl
511;1;26th St
513;2;44th St
515;1;Mintwood Pl
520;1;Spruce Dr
521;1;46th St
523;1;Bryant St
523;1;Bryant St
523;1;Bryant St
524;4;Malcolm X Ave
525;3;56th Pl
526;1;S St
527;2;Eads St
527;2;Eads St
530;4;East Basin Dr
530;4;East Basin Dr
531;3;Yuma St
533;2;42nd Pl
533;2;42nd Pl
534;3;Alabama Ave
535;3;Martin Luther King Jr Ave
537;1;Hawthorne St
538;3;S St
541;2;Constitution Ave
541;2;Constitution Ave
542;2;Shepherd St
543;1;T St
544;1;Blair Rd
545;2;Sheriff Rd
550;2;Girard St
550;2;Girard St
550;2;Girard St
551;2;Massachusetts Ave
554;1;Pennsylvania Ave
555;1;I St
556;1;Oneida Pl
557;2;Oglethorpe St
558;1;Potomac St
558;1;Potomac St
559;3;Irving St
559;3;Irving St
560;2;46th St
561;3;Valley Ave
562;1;Wise Rd
562;1;Wise Rd
566;3;12th St
567;1;Gallatin St
568;1;Decatur St
573;2;9th St
573;2;9th St
573;2;9th St
577;2;Kennedy St
577;2;Kennedy St
578;1;5th St
578;1;5th St
579;1;19th St
583;4;Overlook Ave
585;1;Sherman Cir
587;2;15th St
587;2;15th St
588;1;18th St
589;1;New Hampshire Ave
590;3;5th St
593;2;Eastern Ave
594;1;P St
595;1;29th St
598;3;Savannah St
603;2;16th St
604;1;Nicholson St
605;3;34th St
608;3;25th St
614;2;New York Ave
615;2;Cloud Pl
615;2;Cloud Pl
619;1;32nd St
620;1;37th St
623;2;Rhode Island Ave
624;3;C St
627;2;Constitution Ave
627;2;Constitution Ave
629;1;Farragut St
633;1;16th St
634;2;Peabody St
634;2;Peabody St
635;4;Wick Dr
638;1;17th St
640;4;Independence Ave
641;1;P St
641;1;P St
642;1;35th St
644;1;Q St
645;3;53rd St
646;3;15th St
646;3;15th St
649;1;Varnum St
649;1;Varnum St
652;2;I St
653;1;Westover Pl
655;1;Westminster St
655;1;Westminster St
659;1;Georgia Ave
660;2;5th St
661;1;Madison St
663;1;Kalmia Rd
664;1;Iris St
664;1;Iris St
664;1;Iris St
668;2;Childress St
669;3;D St
671;1;Kansas Ave
672;3;S St
674;1;3rd St
677;1;1st St
678;3;4th St
678;3;4th St
684;1;Alaska Ave
691;1;32nd St
692;3;Barnaby Rd
692;3;Barnaby Rd
693;2;Ames St
694;3;Wheeler Rd
695;3;28th St
696;3;32nd St
702;1;Brandywine St
702;1;Brandywine St
704;2;Hayes St
704;2;Hayes St
708;2;16th St
709;3;Pennsylvania Ave
710;3;17th St
710;3;17th St
712;2;Varnum St
712;2;Varnum St
712;2;Varnum St
713;1;Pennsylvania Ave
716;3;Texas Ave
721;2;Decatur St
724;1;Beach Dr
725;1;Utah Ave
728;1;Livingston St
731;1;Glover Rd
731;1;Glover Rd
731;1;Glover Rd
732;1;New York Ave
735;1;North Dakota Ave
736;4;Ohio Dr
740;2;Clay Pl
742;1;46th St
748;1;Massachusetts Ave
749;2;L St
750;2;Oglethorpe St
750;2;Oglethorpe St
750;2;Oglethorpe St
751;2;Eastern Ave
753;3;33rd St
754;3;14th St
755;3;Irving St
756;3;Chesapeake St
757;4;Cooley Ave
760;3;G St
762;4;Frontage Rd
763;1;14th St
764;1;M St
765;3;Pomeroy Rd
767;1;10th St
771;1;West Executive Ave
773;4;1st St
774;2;Upshur St
775;1;13th St
779;1;4th St
779;1;4th St
786;3;Isaac Hull Ave
788;1;Westmoreland Cir
791;2;Bladensburg Rd
791;2;Bladensburg Rd
791;2;Bladensburg Rd
792;1;50th St
794;1;Nebraska Ave
796;2;4th St
796;2;4th St
796;2;4th St
797;1;Warder St
798;5;East Capitol St
800;1;Columbia Rd
801;1;6th St
802;3;F St
803;2;Central Ave
803;2;Central Ave
804;2;Hayes St
807;3;16th St
809;3;38th St
809;3;38th St
817;1;Springdale St
818;1;Holly St
819;1;New Mexico Ave
821;3;10th Pl
826;2;Hamilton St
829;1;21st St
829;1;21st St
830;2;Trinidad Ave
831;1;28th St
831;1;28th St
831;1;28th St
833;2;C St
834;3;8th St
836;3;H St
838;2;New Hampshire Ave
843;1;Constitution Ave
844;3;Independence Ave
844;3;Independence Ave
846;1;Yuma St
849;3;Nicholson St
850;1;Sherman Ave
854;2;Bennett Pl
854;2;Bennett Pl
857;1;14th St
858;1;Bancroft Pl
859;1;15th St
860;1;21st St
860;1;21st St
860;1;21st St
864;2;C St
869;1;1st St
874;3;New Jersey Ave
875;1;Linnean Ave
877;1;Bingham Dr
878;2;Minnesota Ave
879;1;Caton Pl
882;1;40th St
883;3;T St
885;1;8th St
888;3;27th St
889;2;Randolph St
891;1;Watson Pl
891;1;Watson Pl
892;2;Berry Rd
893;2;Meade St
894;1;Yuma St
897;2;Crittenden St
898;1;42nd St
907;2;3rd St
909;1;Porter St
910;3;Erie St
912;1;Q St
913;1;15th St
916;2;Oglethorpe St
918;1;Kalorama Rd
919;1;I St
926;2;Constitution Ave
927;1;V St
927;1;V St
929;1;Cliffbourne Pl
929;1;Cliffbourne Pl
931;2;Longfellow St
933;2;Gallaudet St
934;2;Eastern Ave
936;1;38th St
936;1;38th St
946;1;32nd St
947;1;Eastern Ave
948;1;Tennyson St
953;1;Longfellow St
953;1;Longfellow St
955;2;Galloway St
959;3;Benning Rd
960;2;4th St
962;2;Shepherd St
964;1;Swann St
964;1;Swann St
967;1;8th St
968;1;N St
968;1;N St
968;1;N St
968;1;N St
970;1;New York Ave
971;1;Morningside Dr
972;1;Cathedral Ave
972;1;Cathedral Ave
975;2;10th St
977;3;Southern Ave
979;1;Broad Branch Rd
979;1;Broad Branch Rd
981;3;Firth Sterling Ave
983;2;W St
984;1;36th St
985;1;Massachusetts Ave
986;3;Southern Ave
989;2;Half Pl
989;2;Half Pl
990;4;Overlook Ave
991;1;Rockwood Pkwy
991;1;Rockwood Pkwy
995;4;Almy St
1000;3;28th St
1000;3;28th St
1001;1;32nd St
1002;1;Columbia Rd
1002;1;Columbia Rd
1004;2;Chillum Pl
1005;1;Wyoming Ave
1007;1;11th St
1011;1;Weaver Ter
1011;1;Weaver Ter
1012;1;Crittenden St
1013;2;13th St
1014;3;E St
1016;1;Park Pl
1016;1;Park Pl
1017;1;Park Rd
1019;3;Savannah St
1020;1;32nd St
1021;2;Clinton St
1025;1;38th St
1026;1;36th St
1027;5;South Capitol St
1029;1;36th St
1030;3;Massachusetts Ave
1033;1;Ingomar St
1033;1;Ingomar St
1034;1;Louisiana Ave
1035;1;12th St
1035;1;12th St
1036;1;Broad Branch Rd
1039;1;Florida Ave
1041;1;Rhode Island Ave
1042;2;Rittenhouse St
1044;3;11th St
1045;2;20th St
1046;4;Westover Ave
1047;4;Langley Way
1048;1;Newark St
1053;2;Harewood Rd
1053;2;Harewood Rd
1053;2;Harewood Rd
1054;2;Kennedy St
1054;2;Kennedy St
1055;3;G St
1056;1;29th St
1057;1;Randolph St
1057;1;Randolph St
1061;5;North Capitol St
1062;1;Georgia Ave
1063;1;11th St
1065;2;Kennedy St
1065;2;Kennedy St
1066;2;Chillum Pl
1067;1;Pennsylvania Ave
1068;2;11th St
1069;2;Irving St
1071;2;18th St
1072;2;1st St
1075;2;Meigs Pl
1075;2;Meigs Pl
1075;2;Meigs Pl
1077;1;Quincy St
1079;2;16th St
1081;3;Newcomb St
1084;2;Bunker Hill Rd
1084;2;Bunker Hill Rd
1085;3;Wahler Pl
1086;3;51st St
1087;1;Sherman Ave
1089;1;Mckinley St
1090;4;4th St
1091;5;East Capitol St
1093;2;Minnesota Ave
1096;3;7th St
1097;1;Columbia Rd
1098;2;Urell Pl
1100;2;2nd St
1102;1;Warder St
1103;1;13th St
1103;1;13th St
1104;1;44th St
1105;3;Tingey St
1106;1;Rittenhouse St
1107;3;Brandywine St
1108;3;Alabama Ave
1110;3;51st St
1111;3;Martin Luther King Jr Ave
1112;1;14th St
1115;1;Scott Cir
1116;1;Piney Branch Rd
1119;1;Huntington St
1119;1;Huntington St
1121;1;N St
1122;1;Constitution Ave
1128;2;14th St
1133;2;Blaine St
1134;1;Trumbull Ter
