STREETSEGID;QUADCODE;ST_NAME
1989;3;Burke St
1990;4;Martin Luther King Jr Ave
1991;3;Galen St
1992;1;17th St
1993;3;Martin Luther King Jr Ave
1994;1;Argyle Ter
1995;1;Van Ness St
1995;1;Van Ness St
1999;4;4th St
2000;1;Kansas Ave
2002;1;Piney Branch Rd
2005;2;Bladensburg Rd
2006;1;O St
2007;2;Florida Ave
2007;2;Florida Ave
2009;1;Church St
2010;1;Western Ave
2011;1;39th St
2012;4;Armor Ct
2014;1;Taylor St
2016;2;M St
2017;2;Blair Rd
2019;1;13th Pl
2022;3;Alabama Ave
2023;2;Lafayette Ave
2024;1;Beecher St
2025;1;30th St
2026;1;19th St
2026;1;19th St
2029;1;Kennedy Pl
2031;2;Bladensburg Rd
2032;2;Benning Rd
2035;1;New Hampshire Ave
2040;1;4th St
2041;2;8th St
2041;2;8th St
2043;2;8th St
2044;3;32nd St
2045;3;Astor Pl
2047;2;49th Pl
2047;2;49th Pl
2049;2;Kenilworth Ave
2050;1;North Portal Dr
2051;3;51st St
2052;1;13th St
2058;2;Anacostia Ave
2060;1;Macomb St
2060;1;Macomb St
2061;4;4th St
2064;1;27th St
2066;2;South Dakota Ave
2067;3;Virginia Ave
2069;1;39th St
2070;1;Foxhall Cres
2071;3;Pennsylvania Ave
2074;2;Summit Pl
2076;1;V St
2076;1;V St
2077;1;3rd St
2077;1;3rd St
2078;1;W St
2084;1;Wisconsin Ave
2085;1;Juniper St
2085;1;Juniper St
2086;1;Luzon Ave
2088;2;26th St
2089;1;4th St
2090;2;I St
2091;1;Kenyon St
2091;1;Kenyon St
2092;2;Lee St
2092;2;Lee St
2093;1;3rd Pl
2094;2;Benning Rd
2095;3;R St
2095;3;R St
2096;2;Clay Pl
2097;1;11th St
2098;3;Pecan St
2098;3;Pecan St
2099;1;Patterson Pl
2101;2;18th St
2103;2;Clay Pl
2104;1;16th St
2107;1;E St
2110;2;Douglas St
2110;2;Douglas St
2113;1;15th St
2114;1;Longfellow St
2115;1;20th St
2115;1;20th St
2116;2;34th St
2117;3;U St
2117;3;U St
2118;2;James Pl
2118;2;James Pl
2118;2;James Pl
2120;1;Upshur St
2123;2;Mount Olivet Rd
2123;2;Mount Olivet Rd
2125;1;M St
2126;4;Loring Way
2131;1;Colorado Ave
2131;1;Colorado Ave
2132;1;Beach Dr
2133;2;17th St
2135;1;Aspen St
2136;5;East Capitol St
2140;1;Connecticut Ave
2142;2;Division Ave
2147;1;Kalmia Rd
2147;1;Kalmia Rd
2148;1;Garrison St
2149;3;Alabama Ave
2151;1;Rock Creek Church Rd
2152;1;P St
2154;4;P St
2155;2;Maryland Ave
2156;3;16th St
2157;1;Nebraska Ave
2160;2;Rittenhouse St
2160;2;Rittenhouse St
2161;2;Hawaii Ave
2162;2;Gallatin St
2164;1;Lincoln Memorial Cir
2165;1;M St
2166;1;17th St
2169;2;Morse St
2173;2;Peabody St
2175;2;Fort Totten Dr
2177;3;29th St
2179;4;Mcguire Ave
2180;2;A St
2181;1;Georgia Ave
2183;1;Western Ave
2188;2;17th St
2189;2;Webster St
2190;3;Trenton Pl
2191;3;9th St
2193;4;Brandywine St
2195;1;V St
2197;1;Taylor St
2197;1;Taylor St
2198;1;Randolph St
2200;1;Piney Branch Rd
2201;4;2nd St
2204;1;Georgia Ave
2205;2;A St
2205;2;A St
2210;3;O St
2211;1;Alaska Ave
2211;1;Alaska Ave
2213;1;Broad Branch Ter
2215;1;Park Rd
2215;1;Park Rd
2216;1;1st St
2216;1;1st St
2218;1;Upton St
2219;1;Taylor St
2221;1;Euclid St
2222;1;Vermont Ave
2225;1;7th St
2225;1;7th St
2226;1;Tuckerman St
2226;1;Tuckerman St
2227;1;Albemarle St
2229;4;Westover Ave
2230;1;Kansas Ave
2231;1;Otis Pl
2231;1;Otis Pl
2232;3;Edward E Cornwell Jr Dr
2238;2;Crabtree Rd
2239;4;Beyer Rd
2241;1;Connecticut Ave
2243;2;Minnesota Ave
2245;2;Rhode Island Ave
2249;1;Ordway St
2250;3;Pennsylvania Ave
2253;1;Illinois Ave
2253;1;Illinois Ave
2254;1;Hamilton St
2254;1;Hamilton St
2256;3;Martin Luther King Jr Ave
2257;2;7th St
2258;1;Logan Cir
2258;1;Logan Cir
2259;2;Douglas St
2260;2;Blaine St
2260;2;Blaine St
2262;2;51st St
2263;1;Idaho Ave
2266;3;3rd St
2267;2;E St
2272;3;Southern Ave
2273;2;9th St
2274;2;56th Pl
2277;1;Wisconsin Ave
2279;1;31st St
2280;1;Albemarle St
2282;3;Texas Ave
2285;1;Hawthorne St
2287;1;Monroe St
2289;3;Frankford St
2290;3;New Jersey Ave
2296;1;Walbridge Pl
2298;2;Hayes St
2299;1;Brandywine St
2300;1;Nebraska Ave
2303;1;H St
2306;1;38th St
2306;1;38th St
2307;2;Harry Thomas Way
2307;2;Harry Thomas Way
2308;1;2nd St
2308;1;2nd St
2309;3;5th St
2310;1;Potomac Ave
2315;1;Nicholson St
2316;1;Van Buren St
2317;1;4th St
2318;1;Aspen St
2319;2;10th St
2319;2;10th St
2320;3;Chesapeake St
2322;2;49th Pl
2323;1;Macomb St
2323;1;Macomb St
2323;1;Macomb St
2324;2;Randolph St
2326;2;Chillum Pl
2327;1;14th St
2330;1;15th St
2333;1;5th St
2334;2;1st St
2335;3;Anacostia Dr
2337;2;Clay St
2338;1;Riggs Pl
2339;1;15th St
2339;1;15th St
2342;1;Calvert St
2347;1;Vermont Ave
2347;1;Vermont Ave
2348;2;Jefferson St
2350;1;T St
2352;1;Rittenhouse St
2352;1;Rittenhouse St
2353;2;E St
2355;1;Florida Ave
2356;1;49th St
2357;4;3rd St
2357;4;3rd St
2360;1;N St
2360;1;N St
2361;1;Western Ave
2367;4;Tiller Ct
2368;1;Massachusetts Ave
2369;2;18th St
2370;2;Nannie Helen Burroughs Ave
2371;1;16th St
2372;1;Plymouth St
2375;2;Buchanan St
2375;2;Buchanan St
2375;2;Buchanan St
2376;3;West Fairhill Dr
2378;3;Forest Glade Ln
2379;2;21st St
2381;5;Interstate 66
2383;1;24th St
2384;2;17th St
2384;2;17th St
2385;2;12th Pl
2387;4;Elmira St
2389;2;Central Ave
2390;1;Tuckerman St
2391;3;V St
2393;1;Beecher St
2395;2;13th Pl
2395;2;13th Pl
2400;1;41st St
2402;1;Klingle Pl
2403;4;Oberlin Ave
2404;2;G St
2405;1;16th St
2406;1;39th St
2407;3;E St
2409;1;M St
2409;1;M St
2411;1;9th St
2412;1;Roxboro Pl
2415;3;Denver St
2417;1;35th St
2417;1;35th St
2419;1;21st St
2420;1;28th St
2420;1;28th St
2421;1;Q Ln
2424;1;Wyoming Ave
2425;2;L St
2426;2;14th St
2432;2;Rhode Island Ave
2433;1;Missouri Ave
2433;1;Missouri Ave
2434;3;33rd St
2435;3;17th Pl
2436;3;Randle Cir
2439;2;Otis Pl
2440;1;G St
2440;1;G St
2441;2;Delaware Ave
2442;1;Flagler Pl
2442;1;Flagler Pl
2444;3;Anacostia Rd
2447;1;Farragut St
2447;1;Farragut St
2450;2;4th St
2453;3;C St
2454;1;9th St
2455;4;Independence Ave
2456;2;Kennedy St
2457;1;New Hampshire Ave
2458;3;18th St
2459;1;Morrison St
2459;1;Morrison St
2466;1;19th St
